Time:          Temperature (C):        Altitude (m):        Pressure (psi):
2009:16:22:37:03:023   8.24935     24990.0397     863.18626
2009:16:22:37:03:273   8.26595     26689.45257     874.41917
2009:16:22:37:03:523   8.46146     27214.70303     883.20869
2009:16:22:37:03:773   8.59158     27255.07424     885.88121
2009:16:22:37:04:023   8.73128     27516.21327     895.34613
2009:16:22:37:04:273   8.74392     27799.83964     903.46562
2009:16:22:37:04:538   9.10944     28217.85283     906.8205
2009:16:22:37:04:788   9.19597     28254.27975     907.5371
2009:16:22:37:05:038   9.23167     28364.86611     926.5771
2009:16:22:37:05:288   9.39159     28505.7584     929.80104
2009:16:22:37:05:538   9.5238     28656.04976     937.05514
2009:16:22:37:05:788   9.5795     29108.58766     940.50012
2009:16:22:37:06:038   10.2399     29289.85909     960.04148
2009:16:22:37:06:288   10.26108     29374.87264     962.83693
2009:16:22:37:06:538   10.40673     29827.81608     966.26248
2009:16:22:37:06:788   10.50243     30018.61544     985.06502
2009:16:22:37:07:038   10.71662     30175.10522     986.60967
2009:16:22:37:07:288   10.95726     30315.23623     991.55625
