Time:        Velocity(k/h):       Altitude (m):        Pressure (psi):       Temperature (C):        Attitude(PSI):
2009:20:20:45:47:910   606.68707   48559.58191   65.81324   2.03649   12.69223
2009:20:20:45:48:129   564.04485   71744.79089   69.53433   -64.23355   12.79357
2009:20:20:45:48:160   607.95789   51368.10910   65.82139   8.57607   12.74361
2009:20:20:45:48:379   630.99802   72153.99265   69.61355   -56.59403   13.38895
2009:20:20:45:48:410   634.05382   51829.16856   67.09262   8.88404   13.27938
2009:20:20:45:48:629   653.03697   74133.08309   71.19311   -54.77518   13.96034
2009:20:20:45:48:660   639.23944   52287.70409   67.30402   11.78981   13.38854
2009:20:20:45:48:879   677.53356   76846.03283   72.18629   -48.54335   15.25329
2009:20:20:45:48:910   650.77820   55261.29013   68.77500   19.40305   13.78924
2009:20:20:45:49:129   683.33678   79425.20865   73.02414   -46.40395   15.50513
2009:20:20:45:49:160   688.89554   58460.37261   69.39847   29.78870   14.16516
2009:20:20:45:49:379   687.84851   79677.23668   73.02828   -41.67009   15.63759
2009:20:20:45:49:410   730.82348   62299.54006   69.42186   37.19534   14.51958
2009:20:20:45:49:629   715.24084   81017.55120   74.21555   -38.40048   15.72435
2009:20:20:45:49:660   768.26847   68663.62114   69.66570   37.83481   15.07363
2009:20:20:45:49:879   726.90632   82598.91546   74.80749   -36.94091   15.77503
2009:20:20:45:49:910   770.22908   69367.98477   71.39101   50.62215   16.14273
2009:20:20:45:50:129   739.70538   86367.35010   74.84869   -33.77131   15.96124
2009:20:20:45:50:160   809.31595   71187.98146   71.51887   50.64124   16.48204
2009:20:20:45:50:379   744.00867   86694.57223   75.14350   -24.40365   16.35163
2009:20:20:45:50:410   837.78175   72942.91336   71.53278   51.06463   16.61820
2009:20:20:45:50:629   747.73229   86825.34009   75.25289   -7.12771   17.07447
2009:20:20:45:50:660   845.83916   79463.47467   72.21323   62.35055   16.96464
2009:20:20:45:50:879   779.14430   86996.45025   75.77635   -6.82659   17.15049
2009:20:20:45:50:910   863.03790   79907.74408   72.83606   62.84524   17.19263
2009:20:20:45:51:129   805.58285   87649.42904   76.08582   -2.89833   17.18614
2009:20:20:45:51:160   870.04476   82572.41211   74.02411   63.18736   17.36194
2009:20:20:45:51:395   808.54953   88167.59532   76.33020   6.12255   17.40459
2009:20:20:45:51:410   885.30147   83514.35199   74.71673   63.82482   17.49342
2009:20:20:45:51:645   812.95993   89464.99363   77.00828   20.20411   17.40953
2009:20:20:45:51:660   902.83448   88658.56666   77.77517   65.88382   17.53693
2009:20:20:45:51:895   837.45411   90999.80410   77.28285   25.93041   17.47614
2009:20:20:45:51:910   910.17288   90034.68660   78.11574   66.62568   18.69943
2009:20:20:45:52:145   854.85126   94503.71035   78.50409   26.43155   17.48090
2009:20:20:45:52:160   955.96255   93760.91698   78.43849   75.67882   18.89532
2009:20:20:45:52:395   885.42779   94579.60636   78.77760   40.60940   18.05517
2009:20:20:45:52:410   974.70666   94647.53047   79.63122   75.86362   19.57397
2009:20:20:45:52:645   891.77426   97864.46330   79.37653   43.44874   18.90180
2009:20:20:45:52:895   897.87382   98392.64669   79.49657   44.30693   19.59943
2009:20:20:45:53:145   929.13098   99054.71727   79.57412   68.15590   19.60061
2009:20:20:45:53:395   963.66495   99288.81221   79.64665   70.81502   19.98606
